host_id,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_encoded,room_type_encoded
6864230.0,1.0,0.0,1.0,0.0,23.0,0.0
4201991.0,1.0,36.0,1.0,0.0,12.0,0.0
2948325.0,3.0,53.0,1.0,104.0,4.0,1.0
7465002.0,3.0,3.0,1.0,0.0,56.0,0.0
5993014.0,15.0,0.0,1.0,6.0,15.0,1.0
20353229.0,3.0,0.0,1.0,0.0,12.0,0.0
3484920.0,2.0,4.0,1.0,51.0,11.0,1.0
15817252.0,5.0,7.0,1.0,0.0,3.0,1.0
30224326.0,7.0,2.0,1.0,0.0,45.0,1.0
41361010.0,2.0,8.0,1.0,199.0,11.0,1.0
241236910.0,2.0,11.0,1.0,54.0,88.0,0.0
2685965.0,1.0,0.0,1.0,0.0,15.0,0.0
61391963.0,30.0,2.0,91.0,251.0,5.0,1.0
103863147.0,3.0,32.0,1.0,56.0,20.0,1.0
245333087.0,5.0,2.0,1.0,339.0,5.0,1.0
156952896.0,1.0,118.0,2.0,79.0,103.0,1.0
61649734.0,1.0,194.0,2.0,7.0,21.0,0.0
107434423.0,30.0,0.0,232.0,163.0,11.0,1.0
3784521.0,7.0,0.0,1.0,0.0,182.0,0.0
24975940.0,90.0,0.0,2.0,90.0,52.0,1.0
190921808.0,30.0,8.0,47.0,351.0,7.0,0.0
12622830.0,1.0,0.0,1.0,0.0,28.0,1.0
11907194.0,2.0,8.0,1.0,0.0,1.0,0.0
197354631.0,30.0,3.0,3.0,23.0,12.0,0.0
107434423.0,30.0,0.0,232.0,98.0,71.0,1.0
137814.0,2.0,294.0,3.0,336.0,3.0,0.0
9486005.0,2.0,2.0,1.0,0.0,12.0,1.0
33614329.0,1.0,36.0,4.0,210.0,21.0,1.0
3600065.0,2.0,3.0,1.0,0.0,5.0,0.0
32479008.0,7.0,47.0,1.0,291.0,16.0,1.0
20309915.0,2.0,94.0,1.0,78.0,12.0,1.0
219517861.0,29.0,1.0,327.0,337.0,71.0,1.0
1245722.0,3.0,30.0,1.0,364.0,12.0,1.0
147229558.0,1.0,21.0,1.0,24.0,12.0,0.0
145993199.0,2.0,13.0,1.0,5.0,22.0,1.0
70120241.0,59.0,0.0,1.0,358.0,8.0,1.0
24835386.0,7.0,4.0,1.0,0.0,23.0,1.0
107455767.0,14.0,70.0,5.0,281.0,183.0,0.0
186517433.0,1.0,0.0,1.0,90.0,4.0,1.0
2943364.0,3.0,4.0,1.0,8.0,12.0,1.0
46222477.0,2.0,61.0,1.0,0.0,27.0,1.0
5299551.0,2.0,7.0,1.0,0.0,16.0,0.0
118430352.0,1.0,0.0,1.0,0.0,15.0,0.0
3452920.0,1.0,3.0,1.0,0.0,23.0,1.0
